" ","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002"
"Felony","564,307","581,264","550,964","533,989","547,550","508,257","467,936","459,632","472,677","487,364"
"Violent Offenses","149,935","154,138","153,803","151,614","155,018","144,233","135,930","131,897","136,023","132,059"
"Property Offenses","196,189","188,903","177,205","165,155","159,980","145,028","126,108","126,182","134,126","138,142"
"Drug Offenses","136,943","155,175","141,394","139,772","153,099","141,766","133,437","128,142","124,726","131,306"
"Sex Offenses","7,935","7,390","7,080","7,756","8,874","9,041","9,441","9,356","9,638","9,730"
"Other Offenses","73,305","75,658","71,482","69,692","70,579","68,189","63,020","64,055","68,164","76,127"
"Misdemeanor","1,079,136","1,043,525","1,025,538","1,051,453","1,033,196","1,023,660","985,784","925,729","907,990","903,249"
"Status Offenses","24,079","27,934","31,645","37,093","39,635","39,807","42,739","39,532","40,013","35,620"
