"new_cases","new_date_4"
283,2021-02-11
1354,2021-02-12
1142,2021-02-13
2121,2021-02-14
891,2021-02-15
1047,2021-02-16
0,2021-02-17
1040,2021-02-18
33,2021-02-19
1029,2021-02-20
191,2021-02-21
1050,2021-02-22
696,2021-02-23
396,2021-02-24
387,2021-02-25
596,2021-02-26
511,2021-02-27
624,2021-02-28
163,2021-03-01
696,2021-03-02
1230,2021-03-03
620,2021-03-04
776,2021-03-05
612,2021-03-06
447,2021-03-07
236,2021-03-08
251,2021-03-09
348,2021-03-10
122,2021-03-11
1530,2021-03-12
634,2021-03-13
800,2021-03-14
475,2021-03-15
84,2021-03-16
561,2021-03-17
1122,2021-03-18
542,2021-03-19
502,2021-03-20
552,2021-03-21
661,2021-03-22
376,2021-03-23
728,2021-03-24
294,2021-03-25
299,2021-03-26
560,2021-03-27
1143,2021-03-28
901,2021-03-29
531,2021-03-30
1024,2021-03-31
667,2021-04-01
520,2021-04-02
345,2021-04-03
787,2021-04-04
511,2021-04-05
199,2021-04-06
552,2021-04-07
242,2021-04-08
397,2021-04-09
225,2021-04-10
595,2021-04-11
529,2021-04-12
659,2021-04-13
115,2021-04-14
481,2021-04-15
625,2021-04-16
471,2021-04-17
485,2021-04-18
512,2021-04-19
349,2021-04-20
400,2021-04-21
230,2021-04-22
777,2021-04-23
