new_cases,new_date_4,daily_crime
1264,2020-12-15,769
1489,2020-12-16,652
2265,2020-12-17,701
991,2020-12-18,634
1140,2020-12-19,677
1266,2020-12-20,724
2097,2020-12-21,696
2481,2020-12-22,700
988,2020-12-23,668
1231,2020-12-24,676
838,2020-12-25,783
263,2020-12-26,705
73,2020-12-27,633
5340,2020-12-28,534
1623,2020-12-29,640
1278,2020-12-30,656
1754,2020-12-31,720
