country,new_cases,new_date_3
Harris,409,2020-11-03
Harris,447,2020-11-04
Harris,496,2020-11-05
Harris,635,2020-11-06
Harris,615,2020-11-07
Harris,458,2020-11-08
Harris,650,2020-11-09
Harris,493,2020-11-10
Harris,661,2020-11-11
Harris,325,2020-11-12
Harris,843,2020-11-13
Harris,711,2020-11-14
Harris,624,2020-11-15
Harris,1027,2020-11-16
Harris,262,2020-11-17
Harris,450,2020-11-18
Harris,1458,2020-11-19
Harris,1275,2020-11-20
Harris,1014,2020-11-21
Harris,1371,2020-11-22
Harris,727,2020-11-23
Harris,873,2020-11-24
Harris,1281,2020-11-25
Harris,1766,2020-11-26
Harris,558,2020-11-27
Harris,105,2020-11-28
Harris,60,2020-11-29
Harris,2614,2020-11-30
Harris,810,2020-12-01
Harris,583,2020-12-02
Harris,903,2020-12-03
Harris,1734,2020-12-04
Harris,557,2020-12-05
Harris,1027,2020-12-06
Harris,2192,2020-12-07
Harris,515,2020-12-08
Harris,745,2020-12-09
Harris,941,2020-12-10
Harris,1266,2020-12-11
Harris,1896,2020-12-12
Harris,1000,2020-12-13
Harris,1416,2020-12-14
Harris,1264,2020-12-15
Harris,1489,2020-12-16
Harris,2265,2020-12-17
Harris,991,2020-12-18
Harris,1140,2020-12-19
Harris,1266,2020-12-20
Harris,2097,2020-12-21
Harris,2481,2020-12-22
Harris,988,2020-12-23
Harris,1231,2020-12-24
Harris,838,2020-12-25
Harris,263,2020-12-26
Harris,73,2020-12-27
Harris,5340,2020-12-28
Harris,1623,2020-12-29
Harris,1278,2020-12-30
Harris,1754,2020-12-31
Harris,1036,2021-01-01
Harris,1677,2021-01-02
Harris,3402,2021-01-03
Harris,2492,2021-01-04
Harris,1777,2021-01-05
Harris,1927,2021-01-06
Harris,1235,2021-01-07
Harris,2589,2021-01-08
Harris,2164,2021-01-09
Harris,3536,2021-01-10
Harris,2579,2021-01-11
Harris,3619,2021-01-12
Harris,1157,2021-01-13
Harris,1341,2021-01-14
Harris,5614,2021-01-15
Harris,3125,2021-01-16
Harris,2842,2021-01-17
Harris,3276,2021-01-18
Harris,1417,2021-01-19
Harris,1202,2021-01-20
Harris,2263,2021-01-21
Harris,2912,2021-01-22
Harris,803,2021-01-23
Harris,1884,2021-01-24
Harris,931,2021-01-25
Harris,3186,2021-01-26
Harris,2936,2021-01-27
Harris,1874,2021-01-28
Harris,2130,2021-01-29
Harris,2314,2021-01-30
Harris,2756,2021-01-31
Harris,2683,2021-02-01
Harris,1921,2021-02-02
Harris,846,2021-02-03
Harris,2565,2021-02-04
Harris,1435,2021-02-05
Harris,1135,2021-02-06
Harris,783,2021-02-07
Harris,1182,2021-02-08
Harris,590,2021-02-09
Harris,318,2021-02-10
Harris,283,2021-02-11
Harris,1354,2021-02-12
Harris,1142,2021-02-13
Harris,2121,2021-02-14
Harris,891,2021-02-15
Harris,1047,2021-02-16
Harris,0,2021-02-17
Harris,1040,2021-02-18
Harris,33,2021-02-19
Harris,1029,2021-02-20
Harris,191,2021-02-21
Harris,1050,2021-02-22
Harris,696,2021-02-23
Harris,396,2021-02-24
Harris,387,2021-02-25
Harris,596,2021-02-26
Harris,511,2021-02-27
Harris,624,2021-02-28
Harris,163,2021-03-01
